"country","hhid","grappe","menage","vague","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","year","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"BEN",7008,7,8,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,2.5,0,0,0,0,0,1,1,0,0,0,0
"BEN",7016,7,16,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"BEN",7024,7,24,1,2,1,1,0,0,0,0,0,0,0,1,0,0,2021,0,0,0,0,0,0,0,7,5,13,0,0,29,0,0,0,0,0,0
"BEN",7032,7,32,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,1.5,5,8,0,0,0,0,1,0,0,0,0
"BEN",7040,7,40,1,2,0,1,0,1,1,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,4.29999995231628,10,7,0,0,5,0,1,1,0,0,0
"BEN",7048,7,48,1,2,0,1,0,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,4.9300000667572,2,4,0,0,5,0,1,1,0,0,0
"BEN",7055,7,55,1,2,0,1,0,1,1,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,1,60,10,0,0,37,0,1,1,0,0,0
"BEN",7063,7,63,1,2,0,1,0,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,3.5,55,14,0,0,25,0,1,1,0,0,0
"BEN",7071,7,71,1,2,1,1,1,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,1.85000002384186,2,4,0,0,0,1,0,0,0,0,0
"BEN",7079,7,79,1,4,0,1,1,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,1.99999994039536,0,9,0,0,27,1,0,0,0,0,0
"BEN",7087,7,87,1,1,1,1,1,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,9.65999984741211,11,13,0,0,27,1,0,0,0,0,1
"BEN",7095,7,95,1,1,1,1,1,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,6.75000023841858,4,10,0,0,53,1,0,0,1,0,0
"BEN",8012,8,12,2,2,0,0,0,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,6.98995101451874,12,30,0,0,50,0,0,0,0,0,0
"BEN",8018,8,18,2,2,1,1,0,1,1,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,2.64249992370605,5,7,0,0,10,0,1,0,0,0,0
"BEN",8024,8,24,2,2,0,1,0,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,32.4178845882416,50,60,0,0,70,0,0,0,0,0,0
"BEN",8036,8,36,2,2,1,1,0,1,1,0,0,0,1,0,0,0,2021,0,0,0,0,0,0,0,1.85800004005432,2,8,0,0,0,0,1,0,0,0,0
"BEN",8042,8,42,2,2,1,1,0,1,1,0,0,0,1,0,0,0,2021,0,0,0,0,0,0,0,1.58211386203766,5,8,0,0,8,0,0,1,0,0,0
"BEN",8043,8,43,2,2,0,1,1,1,1,0,0,1,0,0,0,0,2021,1,0,0,0,0,1,0,10.1199997663498,45,62,0,0,32,0,1,1,0,0,0
"BEN",8049,8,49,2,2,1,1,0,1,1,0,0,0,1,0,0,0,2021,0,0,0,0,0,0,0,3.12700009346008,6,5,0,0,10,0,0,1,0,0,0
"BEN",8067,8,67,2,2,1,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,29.789999961853,72,156,0,0,124,0,1,1,0,0,0
"BEN",8085,8,85,2,2,0,1,0,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,7.45000004768372,35,23,0,0,12,0,1,1,0,0,0
"BEN",8090,8,90,2,2,0,1,1,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,4.71496760845184,2,0,0,0,15,0,0,0,0,0,0
"BEN",8091,8,91,2,4,0,0,0,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,8.1207709312439,15,23,0,0,25,0,0,0,0,0,0
"BEN",8099,8,99,2,2,0,1,1,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,7.32999986410141,12,30,0,0,26,0,1,1,0,0,0
"BEN",9002,9,2,1,2,1,1,0,1,1,0,0,0,1,0,0,0,2021,0,0,0,0,0,0,0,1.12999999523163,48,8,0,0,13,0,1,0,0,0,0
"BEN",9009,9,9,1,2,1,1,1,1,0,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,8.87813317775726,9,0,0,0,0,0,1,0,0,0,0
"BEN",9016,9,16,1,4,1,1,0,1,1,0,0,0,1,0,0,0,2021,0,0,0,0,0,0,0,,5,0,0,0,10,1,0,0,0,0,0
"BEN",9023,9,23,1,2,0,1,0,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,4.65103662014008,4,2,0,0,15,0,1,1,0,0,0
"BEN",9030,9,30,1,2,0,1,0,1,1,0,0,0,1,0,0,0,2021,0,0,0,0,0,0,0,1.57999995350838,6,11,0,0,10,1,1,0,1,0,0
"BEN",9037,9,37,1,2,0,1,1,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,10.5000002384186,5,10,0,0,6,0,1,1,0,0,0
"BEN",9044,9,44,1,2,0,1,1,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,9.66999992728233,9,10,0,0,33,0,1,1,0,1,0
"BEN",9051,9,51,1,2,0,1,1,1,1,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,1.95999997854233,2,5,0,0,10,0,1,1,0,0,0
"BEN",9058,9,58,1,2,1,1,1,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,0.0211970005184412,0,0,0,0,0,0,0,1,0,0,0
"BEN",9065,9,65,1,2,1,1,1,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,0.0314500005915761,2,0,0,0,8,0,0,1,0,0,0
"BEN",9072,9,72,1,2,1,1,1,1,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,0.101130001246929,2,0,0,0,20,0,0,1,0,0,0
"BEN",9078,9,78,1,2,1,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,0.065013999119401,4,15,0,0,30,0,0,1,0,0,0
"BEN",10006,10,6,2,2,1,1,1,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,10.4985820651054,8,15,0,0,20,0,0,0,0,0,0
"BEN",10020,10,20,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,4.48306101560593,4,21,0,0,19,0,0,0,0,0,0
"BEN",10027,10,27,2,2,0,1,0,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,21.1471872329712,9,60,0,0,30,0,0,0,0,0,0
"BEN",10035,10,35,2,2,1,1,1,0,0,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,3.15374207496643,6,10,0,0,0,0,0,0,0,0,0
"BEN",10049,10,49,2,2,1,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,26.0209015607834,10,40,0,0,10,0,0,0,0,0,0
"BEN",10057,10,57,2,2,1,1,1,0,0,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,1.66661477088928,10,24,0,0,6,0,0,1,0,0,0
"BEN",10064,10,64,2,2,1,1,1,0,0,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,1.62278604507446,6,8,0,0,0,0,0,1,0,0,0
"BEN",10079,10,79,2,2,1,1,1,1,1,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,2.44582521915436,12,15,12,0,0,0,1,1,0,0,0
"BEN",10086,10,86,2,2,1,1,1,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,6.78999984264374,4,18,0,0,31,0,1,1,0,0,0
"BEN",10093,10,93,2,2,0,1,1,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,6.80000001192093,5,5,0,0,23,0,1,1,0,0,0
"BEN",10108,10,108,2,2,1,1,1,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,9.91999979317188,25,45,0,0,50,0,1,1,0,0,0
"BEN",10115,10,115,2,2,0,1,1,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,22.2000002861023,4,18,0,0,34,0,1,1,0,0,0
"BEN",11005,11,5,1,2,1,1,1,0,0,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,8.26940822601318,2,11,0,0,40,1,0,0,0,0,0
"BEN",11017,11,17,1,1,1,1,1,0,0,1,1,0,1,0,0,0,2021,1,0,0,0,0,1,0,3.45426762104034,15,5,0,0,10,0,0,1,0,0,0
"BEN",11042,11,42,1,2,1,1,1,0,0,0,1,0,1,0,0,0,2021,0,0,0,0,0,0,0,,0,10,0,0,0,1,0,0,0,0,0
"BEN",11055,11,55,1,3,1,1,1,0,0,1,1,0,1,0,0,0,2021,1,0,0,0,0,1,1,0.856558799743652,0,5,0,0,53,1,1,0,0,0,0
"BEN",11068,11,68,1,4,1,1,1,0,0,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,7.75328159332275,2,0,0,0,37,0,1,0,0,0,0
"BEN",11080,11,80,1,1,1,1,1,0,0,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,1.25,2,0,0,0,0,0,1,1,0,1,0
"BEN",11093,11,93,1,2,0,1,1,0,0,1,1,0,1,0,0,0,2021,0,0,0,0,0,0,0,3.45950150489807,6,0,0,0,0,1,1,1,1,0,0
"BEN",11106,11,106,1,2,0,1,1,1,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,0.101276000961661,0,0,0,0,0,1,0,1,0,0,0
"BEN",11118,11,118,1,2,1,1,1,0,0,1,1,0,0,0,0,0,2021,0,0,0,0,0,0,0,3.4182825088501,0,0,0,0,0,0,0,1,0,0,0
"BEN",11131,11,131,1,2,0,1,1,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,0.0546070002019405,0,0,0,0,0,0,1,1,0,0,0
"BEN",11143,11,143,1,2,0,1,1,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,1.72380419261754,0,0,0,0,0,0,1,1,0,0,0
"BEN",11169,11,169,1,1,1,1,1,0,0,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,7.11854124069214,4,0,0,0,10,1,0,1,0,0,0
"BEN",12003,12,3,2,2,1,1,1,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,0.276716995984316,17,0,0,0,6,1,1,0,0,0,0
"BEN",12009,12,9,2,2,1,1,0,0,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,14.5038505792618,25,32,0,0,20,0,0,0,0,0,0
"BEN",12023,12,23,2,2,1,0,0,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,0.119469001889229,0,0,0,0,12,0,1,0,0,0,0
"BEN",12029,12,29,2,4,1,1,1,1,1,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,1.02999997138977,23,0,0,0,10,1,1,0,0,0,0
"BEN",12036,12,36,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,0.209189996123314,6,12,0,0,14,1,1,0,0,0,0
"BEN",12049,12,49,2,4,0,1,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,5.259636759758,5,20,0,0,0,0,0,0,0,0,0
"BEN",12056,12,56,2,4,1,1,1,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,6.55000016093254,2,0,0,0,6,1,1,0,0,0,0
"BEN",12063,12,63,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,0.153624996542931,0,3,0,0,2,1,1,0,0,0,0
"BEN",12076,12,76,2,2,1,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,17.150000333786,20,40,0,0,15,1,0,0,1,0,0
"BEN",12083,12,83,2,2,1,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,5.03521192073822,4,1,0,0,0,0,0,0,0,0,0
"BEN",12090,12,90,2,4,1,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,9.42000019550323,15,10,0,0,3,0,0,1,1,0,0
"BEN",12103,12,103,2,2,0,1,0,0,0,0,0,1,0,0,0,0,2021,1,0,0,0,0,1,0,8.87865501642227,7,17,0,0,10,1,1,0,0,0,0
"BEN",13019,13,19,2,2,1,1,1,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"BEN",13029,13,29,2,2,1,1,0,1,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,2.27518704533577,0,0,0,0,25,0,1,1,0,0,0
"BEN",13038,13,38,2,2,1,1,0,1,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,2.38921129703522,0,0,0,0,0,0,1,1,0,0,0
"BEN",13058,13,58,2,2,1,1,1,1,1,0,0,1,0,0,0,0,2021,1,0,0,0,0,1,0,13.258999735117,16,37,0,12,50,1,0,0,0,0,0
"BEN",13068,13,68,2,2,1,1,1,1,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,,0,25,0,0,0,0,0,0,0,0,0
"BEN",13078,13,78,2,2,1,1,1,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,8.19199991226196,0,0,0,0,120,0,0,0,0,0,0
"BEN",13097,13,97,2,2,1,1,1,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,4,0,0,0,0,15,0,0,1,0,0,0
"BEN",13107,13,107,2,4,1,1,1,1,1,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0
